code,uz,ru
A06AG10,"Dokuzat natriy jumladan, boshqa vositalar bilan majmuada",Докузат натрия в т.ч. в комбинации со средствами
A06AG11,"Lauril sulfati jumladan, boshqa vositalar bilan majmuada",Лаурила сульфат в т.ч. в комбинации со средствами
A06AG20,Majmuaviy surgi preparatlari,Слабительные препараты комбинированные
A06AH,Periferik opioid retseptorlari antagonistlari,Антагонисты периферических опиоидных рецепторов
A06AH01,Metilnaltrekson bromidi,Метилналтрексона бромид
A06AH02,Alvimopan,Алвимопан
A06AH03,Naloksegol,Налоксегол
A06AH04,Nalokson,Налоксон
A06AX,Boshqa surgi vositalari,Другие слабительные средства
A06AX01,Glitserol,Глицерол
A06AX02,Karbonat angidridi gazini hosil qiluvchi preparatlar,Препараты образующие углекислый газ
A06AX03,Lubiproston,Лубипростон
A06AX04,Linaklotid,Линаклотид
A06AX05,Prukaloprid,Прукалоприд
A06AX06,Tegaserod,Тегасерод
A01AD01,Epinefrin,Эпинефрин
A01AD02,Benzidamin,Бензидамин
A01AD05,Asetilsalitsil kislotasi,Ацетилсалициловая кислота
A01AD06,Adrenalon,Адреналон
A01AD07,Amleksanoks,Амлексанокс
A01AD08,Bekaplermin,Бекаплермин
A01AD11,Boshqa preparatlar,Прочие препараты
A06AD01,Magniy karbonati,Магния карбонат
A06AD02,Magniy oksidi,Магния оксид
A06AD03,Magniy peroksidi,Магния пероксид
A06AD04,Magniy sulfati,Магния сульфат
A06AD10,Mineral tuzlar majmuada,Минеральные соли в комбинации
A06AD11,Laktuloza,Лактулоза
A06AD12,Laktitol,Лактитол
A06AD13,Natriy sulfati,Натрия сульфат
A06AD14,Pentaeritritil tetranitrati,Пентаэритритила тетранитрат
A06AD15,Makrogol,Макрогол
A06AD16,Mannitol,Маннитол
A06AD17,Natriy fosfati,Натрия фосфат
A06AD18,Sorbitol,Сорбитол
A06AD19,Magniy sitrati,Магния цитрат
A06AD21,Natriy tartrati,Натрия тартрат
A06AD61,Laktuloza boshqa vositalar bilan majmuada,Лактулоза в комбинации со средствами
A06AD65,Makrogol boshqa vositalar bilan majmuada,Макрогол в комбинации со средствами
A07AA,Antibiotiklar,Антибиотики
A07AA01,Neomitsin,Неомицин
A07AA02,Nistatin,Нистатин
A07AA03,Natamitsin,Натамицин
A07AA04,Streptomitsin,Стрептомицин
A07AA05,Polimiksin B,Полимиксин B
A07AA06,Paromomitsin,Паромомицин
A07AA07,Amfoteritsin B,Амфотерицин B
A07AA08,Kanamitsin,Канамицин
A07AA09,Vankomitsin,Ванкомицин
A07AA10,Kolistin,Колистин
A07AA11,Rifaksimin,Рифаксимин
A07AA12,Fidaksomitsin,Фидаксомицин
A07AA51,Neomitsin boshqa vositalar bilan majmuada,Неомицин в комбинации со средствами
A07AA54,Streptomitsin boshqa vositalar bilan majmuada,Стрептомицин в комбинации со средствами
A07AB,Sulfanilamidlar,Сульфаниламиды
A07AB02,Ftalilsulfatiazol,Фталилсульфатиазол
A07AB03,Sulfaguanidin,Сульфагуанидин
A07AB04,Suksinilsulfatiazol,Сукцинилсульфатиазол
A07AC,Imidazol hosilalari,Производные имидазола
A07AC01,Mikonazol,Миконазол
A07AX,Boshqa ichakda taʼsir etuvchi mikroblarga qarshi preparatlar,Другие кишечные противомикробные препараты
A07AX01,Broksixinolin,Броксихинолин
A07AX02,Asetarsol,Ацетарсол
A07AX03,Nifuroksazid,Нифуроксазид
A07AX04,Nifurzid,Нифурзид
A07BA,Koʻmir preparatlari,Препараты угля
A07BA01,Faollashtirilgan koʻmir,Активированный уголь
A07BA51,Faollashtirilgan koʻmir boshqa vositalar bilan majmuada,Активированный уголь в комбинации со средствами
A07BC,Boshqa ichak adsorbentlari,Другие кишечные адсорбенты
A07BC01,Pektin,Пектин
A07BC02,Kaolin,Каолин
A07BC03,Krospovidon,Кросповидон
A07BC04,Attapulgit,Аттапулгит
A07BC05,Diosmektit,Диосмектит
A07BC30,Ichakda adsorbsiya qiluvchi preparatlar majmuada,Адсорбирующие кишечные препараты в комбинации
A07BC54,Attapulgit boshqa vositalar bilan majmuada,Аттапулгит в комбинации со средствами
A07CA,Og'iz orqali regidratatsiya tuzi preparatlari,Регидрататирующие солевые препараты для перорального приема
A07DA,Meʼda - ichak yoʻllari motorikasini pasaytiruvchi preparatlar,"Препараты, снижающие моторику желудочно-кишечного тракта"
A07DA01,Difenoksilat,Дифеноксилат
A07DA02,Opiy,Опий
A07DA03,Loperamid,Лоперамид
A07DA04,Difenoksin,Дифеноксин
A07DA05,Loperamid oksidi,Лоперамида оксид
A07DA06,Eluksadolin,Элуксадолин
A07DA52,Morfin boshqa vositalar bilan majmuada,Морфин в комбинации со средствами
A07DA53,Loperamid boshqa vositalar bilan majmuada,Лоперамид в комбинации со средствами
A07EA,Mahalliy qoʻllash uchun kortikosteroidlar,Кортикостероиды для местного применения
A07EA01,Prednizolon,Преднизолон
A07EA02,Gidrokortizon,Гидрокортизон
A07EA03,Prednizon,Преднизон
A07EA04,Betametazon,Бетаметазон
A07EA05,Tiksokortol,Тиксокортол
A07EA06,Budesonid,Будесонид
A07EA07,Beklometazon,Беклометазон
A07EB,"Allergiyaga qarshi preparatlar, kortikosteroidlardan tashqari","Противоаллергические препараты, кроме кортикостероидов"
A07EB01,Kromoglitsiyev kislotasi,Кромоглициевая кислота
A07EC,Aminosalitsil kislotasi va unga oʻxshash preparatlar,Аминосалициловая кислота и аналогичные препараты
A07EC01,Sulfasalazin,Сульфасалазин
A07EC02,Mesalazin,Месалазин
A07EC03,Olsalazin,Олсалазин
